,,,,,,,,,,,Passing,,,,,,,,,,,Rushing,,,,Receiving,,,,,,,Scoring,,,,Tackles,,,,,Fumbles,,,,,,Off. Snaps,,Def. Snaps,,ST Snaps,,
Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
86,2022,10/10/22,5,5,27.023,KAN,,LVR,W 30-29,*,29,43,67.44,292,4,0,117.6,3,27,6.79,8.65,4,28,7,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,
87,2022,10/16/22,6,6,27.029,KAN,,BUF,L 20-24,*,25,40,62.5,338,2,2,85.2,3,19,8.45,7.2,4,21,5.25,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,
88,2022,10/23/22,7,7,27.036,KAN,@,SFO,W 44-23,*,25,34,73.53,423,3,1,132.4,1,6,12.44,12.88,0,0,,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,58,91%,0,0%,0,0%,
89,2022,11/6/22,8,9,27.05,KAN,,TEN,W 20-17,*,43,68,63.24,446,1,1,80.9,4,24,6.56,6.19,6,63,10.5,1,0,0,0,,0,0.00%,,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,100,100%,0,0%,0,0%,
90,2022,11/13/22,9,10,27.057,KAN,,JAX,W 27-17,*,26,35,74.29,331,4,1,129.6,0,0,9.46,10.46,7,39,5.57,0,0,0,0,,0,0.00%,,,0,0,0,0,1,1,0,0,1,0,0,1,-3,0,63,100%,0,0%,0,0%,
91,2022,11/20/22,10,11,27.064,KAN,@,LAC,W 30-27,*,20,34,58.82,329,3,0,120.8,1,7,9.68,11.44,4,23,5.75,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,65,100%,0,0%,0,0%,
92,2022,11/27/22,11,12,27.071,KAN,,LAR,W 26-10,*,27,42,64.29,320,1,1,85.4,0,0,7.62,7.02,4,36,9,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,100%,0,0%,0,0%,
93,2022,12/4/22,12,13,27.078,KAN,@,CIN,L 24-27,*,16,27,59.26,223,1,0,98.2,2,12,8.26,9,2,9,4.5,1,0,0,0,,0,0.00%,,,1,6,0,0,0,0,0,0,0,0,0,0,0,0,55,100%,0,0%,0,0%,
94,2022,12/11/22,13,14,27.085,KAN,@,DEN,W 34-28,*,28,42,66.67,352,3,3,86.6,2,10,8.38,6.6,3,-3,-1,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,
95,2022,12/18/22,14,15,27.092,KAN,@,HOU,W 30-24,*,36,41,87.8,336,2,0,117.1,2,23,8.2,9.17,5,33,6.6,1,0,0,0,,0,0.00%,,,1,6,0,0,0,0,0,0,1,0,0,1,0,0,77,100%,0,0%,0,0%,
