Rank,Year,Date,Week,Team,H/A,Opp,Result,Status,Pass Att,Cmp%,Pass YDs,Pass TDs,Int,Sacks,Rush Att,Rush YDs,TDs,Snaps,Class
90.0,2019.0,2019-11-17,11.0,OAK,Home,CIN,W 17-10,Start,29.0,86.21,292.0,1.0,1.0,3.0,5.0,1.0,1.0,68.0,1
91.0,2019.0,2019-11-24,12.0,OAK,Away,NYJ,L 3-34,Start,27.0,55.56,127.0,0.0,1.0,1.0,1.0,11.0,0.0,42.0,0
92.0,2019.0,2019-12-01,13.0,OAK,Away,KAN,L 9-40,Start,30.0,66.67,222.0,1.0,2.0,2.0,3.0,7.0,0.0,59.0,0
93.0,2019.0,2019-12-08,14.0,OAK,Home,TEN,L 21-42,Start,34.0,73.53,262.0,2.0,0.0,2.0,2.0,17.0,0.0,62.0,0
94.0,2019.0,2019-12-15,15.0,OAK,Home,JAX,L 16-20,Start,36.0,61.11,267.0,1.0,0.0,4.0,1.0,12.0,0.0,75.0,0
95.0,2019.0,2019-12-22,16.0,OAK,Away,LAC,W 24-17,Start,30.0,86.67,291.0,1.0,0.0,3.0,1.0,3.0,1.0,63.0,1
96.0,2019.0,2019-12-29,17.0,OAK,Away,DEN,L 15-16,Start,46.0,63.04,391.0,1.0,0.0,2.0,1.0,0.0,0.0,73.0,0
97.0,2020.0,2020-09-13,1.0,LVR,Away,CAR,W 34-30,Start,30.0,73.33,239.0,1.0,0.0,0.0,0.0,0.0,0.0,63.0,1
98.0,2020.0,2020-09-21,2.0,LVR,Home,NOR,W 34-24,Start,38.0,73.68,284.0,3.0,0.0,3.0,3.0,3.0,0.0,80.0,1
99.0,2020.0,2020-09-27,3.0,LVR,Away,NWE,L 20-36,Start,32.0,75.0,261.0,2.0,0.0,2.0,2.0,10.0,0.0,59.0,0
100.0,2020.0,2020-10-04,4.0,LVR,Home,BUF,L 23-30,Start,44.0,72.73,311.0,2.0,0.0,2.0,4.0,20.0,0.0,74.0,0
101.0,2020.0,2020-10-11,5.0,LVR,Away,KAN,W 40-32,Start,31.0,70.97,347.0,3.0,1.0,1.0,4.0,1.0,0.0,70.0,1
102.0,2020.0,2020-10-25,7.0,LVR,Home,TAM,L 20-45,Start,36.0,66.67,284.0,2.0,1.0,3.0,2.0,19.0,0.0,65.0,0
103.0,2020.0,2020-11-01,8.0,LVR,Away,CLE,W 16-6,Start,24.0,62.5,111.0,1.0,0.0,2.0,6.0,41.0,0.0,72.0,1
104.0,2020.0,2020-11-08,9.0,LVR,Away,LAC,W 31-26,Start,23.0,56.52,165.0,2.0,0.0,1.0,2.0,14.0,0.0,51.0,1
105.0,2020.0,2020-11-15,10.0,LVR,Home,DEN,W 37-12,Start,25.0,64.0,154.0,0.0,0.0,0.0,4.0,10.0,0.0,72.0,1
106.0,2020.0,2020-11-22,11.0,LVR,Home,KAN,L 31-35,Start,31.0,74.19,275.0,3.0,1.0,0.0,3.0,6.0,0.0,59.0,0
107.0,2020.0,2020-11-29,12.0,LVR,Away,ATL,L 6-43,Start,34.0,64.71,215.0,0.0,1.0,3.0,0.0,0.0,0.0,52.0,0
