,,,,,,,,,,,Passing,,,,,,,,,,,Rushing,,,,Receiving,,,,,,,Scoring,,Fumbles,,,,,,Off. Snaps,,Def. Snaps,,ST Snaps,,
Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
44,2016,12/4/16,12,13,25.251,OAK,,BUF,W 38-24,*,19,35,54.29,260,2,0,97.3,0,0,7.43,8.57,2,4,2,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,
45,2016,12/8/16,13,14,25.255,OAK,@,KAN,L 13-21,*,17,41,41.46,117,0,0,49.1,1,8,2.85,2.85,2,3,1.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,
46,2016,12/18/16,14,15,25.265,OAK,@,SDG,W 19-16,*,19,30,63.33,213,1,1,81.7,2,13,7.1,6.27,5,5,1,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,
47,2016,12/24/16,15,16,25.271,OAK,,IND,W 33-25,*,21,31,67.74,232,3,0,122,1,8,7.48,9.42,1,8,8,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,63,83%,0,0%,0,0%,
48,2016,1/1/17,,17,,OAK,@,DEN,L 6-24,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2017,9/10/17,1,1,26.166,OAK,@,TEN,W 26-16,*,22,32,68.75,262,2,0,114.3,2,12,8.19,9.44,2,2,1,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,66,100%,0,0%,0,0%,
50,2017,9/17/17,2,2,26.173,OAK,,NYJ,W 45-20,*,23,28,82.14,230,3,0,136.6,0,0,8.21,10.36,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%,
51,2017,9/24/17,3,3,26.18,OAK,@,WAS,L 10-27,*,19,31,61.29,118,1,2,52.9,4,22,3.81,1.55,2,5,2.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,51,100%,0,0%,0,0%,
52,2017,10/1/17,4,4,26.187,OAK,@,DEN,L 10-16,*,10,18,55.56,143,1,0,100,2,12,7.94,9.06,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,34,63%,0,0%,0,0%,
53,2017,10/8/17,,5,,OAK,,BAL,L 17-30,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2017,10/15/17,6,6,26.201,OAK,,LAC,L 16-17,*,21,30,70,171,1,2,67.5,1,6,5.7,3.37,1,0,0,0,0,0,0,,0,0.00%,,0,0,1,0,0,1,0,0,58,100%,0,0%,0,0%,
55,2017,10/19/17,7,7,26.205,OAK,,KAN,W 31-30,*,29,52,55.77,417,3,0,101.2,0,0,8.02,9.17,1,15,15,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,82,100%,0,0%,0,0%,
56,2017,10/29/17,8,8,26.215,OAK,@,BUF,L 14-34,*,31,49,63.27,313,1,2,71.2,0,0,6.39,4.96,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,
